UNIT,ENTRIESn_hourly,ENTRIESn_hourly
R170,956585.0,1931333.0
R022,595638.0,1201294.0
R084,615620.0,1193803.0
R033,569377.0,1142286.0
R046,591132.0,1104018.0
R179,521349.0,1096912.0
R055,535697.0,1071837.0
R011,562842.0,1020072.0
R012,550393.0,1014359.0
R018,466303.0,923575.0
R020,471787.0,876627.0
R029,440506.0,852754.0
R023,438253.0,834426.0
R293,457671.0,830672.0
R540,375888.0,742959.0
R175,356944.0,708392.0
R452,365420.0,702584.0
R025,339736.0,698351.0
R138,343914.0,694300.0
R168,326806.0,660216.0
R051,321688.0,630191.0
R108,312516.0,624476.0
R178,324318.0,621022.0
R047,333271.0,620551.0
R021,306827.0,614927.0
R044,298378.0,598943.0
R057,300986.0,594949.0
R541,298144.0,589621.0
R177,302016.0,575476.0
R031,304338.0,575198.0
R010,285005.0,569238.0
R127,299919.0,567920.0
R195,274302.0,555111.0
R017,278618.0,522894.0
R032,272515.0,518998.0
R014,262960.0,513140.0
R001,250574.0,499108.0
R132,249965.0,498531.0
R176,252291.0,485920.0
R131,256294.0,485737.0
R549,242729.0,479094.0
R062,239157.0,478256.0
R102,233674.0,476031.0
R080,244115.0,474826.0
R141,239283.0,474443.0
R050,246432.0,467978.0
R552,225621.0,458324.0
R158,230778.0,456875.0
R235,230627.0,456367.0
R240,208557.0,440044.0
R550,228193.0,439990.0
R105,214710.0,436448.0
R081,222339.0,435741.0
R144,220037.0,427762.0
R035,216324.0,413511.0
R053,206011.0,411469.0
R201,195541.0,406164.0
R463,203122.0,405942.0
R142,201809.0,404017.0
R163,200351.0,402300.0
R248,210993.0,401966.0
R116,216552.0,401030.0
R101,197938.0,397692.0
R461,195915.0,390525.0
R097,199501.0,390483.0
R019,197079.0,386366.0
R111,203488.0,384604.0
R110,199064.0,379623.0
R024,193701.0,378762.0
R027,204139.0,376892.0
R164,205505.0,376448.0
R041,182757.0,372391.0
R083,192770.0,370102.0
R030,189918.0,369173.0
R049,197369.0,367255.0
R143,187077.0,354175.0
R043,176803.0,341521.0
R208,169937.0,338814.0
R028,172388.0,336519.0
R015,186789.0,335759.0
R167,174358.0,332786.0
R045,217318.0,331189.0
R079,168968.0,327541.0
R300,160305.0,323740.0
R254,158346.0,317114.0
R188,165534.0,313530.0
R013,167172.0,311291.0
R086,157092.0,310921.0
R085,159890.0,308559.0
R147,148920.0,306605.0
R546,155057.0,305099.0
R139,167043.0,304677.0
R122,151788.0,304270.0
R160,153184.0,303589.0
R182,145154.0,302033.0
R359,150496.0,300648.0
R137,148143.0,299336.0
R166,153599.0,295701.0
R211,155524.0,293978.0
R095,144981.0,291589.0
