"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"fixed.acidity",1,-0.0243749985326998,0.288857549651373,0.0875879994634583,0.0227968695473503,-0.0490477136936581,0.0909673306378615,0.268186003289872,-0.426296255956027,-0.0175519759446676,-0.12112855991147
"volatile.acidity",-0.0243749985326998,1,-0.153332277377739,0.0489051290670815,0.0690534464407144,-0.0952550483130361,0.0889770873591273,0.00637630558569982,-0.0339420207078388,-0.0383630943812958,0.066700335571829
"citric.acid",0.288857549651373,-0.153332277377739,1,0.0902747224936663,0.113860351399788,0.0948692705911256,0.120965183037527,0.146243995808794,-0.164458554809766,0.0615938610410909,-0.0762057539152484
"residual.sugar",0.0875879994634583,0.0489051290670815,0.0902747224936663,1,0.0868334535559679,0.307356359126678,0.405959944721846,0.833969101514214,-0.200190275568281,-0.0313115530514747,-0.459462362863408
"chlorides",0.0227968695473503,0.0690534464407144,0.113860351399788,0.0868334535559679,1,0.101860259813388,0.198815090091491,0.259341766329876,-0.0908240443625571,0.0163079788077346,-0.360538621913114
"free.sulfur.dioxide",-0.0490477136936581,-0.0952550483130361,0.0948692705911256,0.307356359126678,0.101860259813388,1,0.615846431115685,0.306369505180956,-0.00017973143575942,0.0598269617000275,-0.249877432487726
"total.sulfur.dioxide",0.0909673306378615,0.0889770873591273,0.120965183037527,0.405959944721846,0.198815090091491,0.615846431115685,1,0.540959085944482,0.00218248571741585,0.134425762026911,-0.449046773468162
"density",0.268186003289872,0.00637630558569982,0.146243995808794,0.833969101514214,0.259341766329876,0.306369505180956,0.540959085944482,1,-0.100045724773538,0.0707832612307687,-0.801887062907223
"pH",-0.426296255956027,-0.0339420207078388,-0.164458554809766,-0.200190275568281,-0.0908240443625571,-0.00017973143575942,0.00218248571741585,-0.100045724773538,1,0.155550152175306,0.121202764641117
"sulphates",-0.0175519759446676,-0.0383630943812958,0.0615938610410909,-0.0313115530514747,0.0163079788077346,0.0598269617000275,0.134425762026911,0.0707832612307687,0.155550152175306,1,-0.0177851885510995
"alcohol",-0.12112855991147,0.066700335571829,-0.0762057539152484,-0.459462362863408,-0.360538621913114,-0.249877432487726,-0.449046773468162,-0.801887062907223,0.121202764641117,-0.0177851885510995,1
