,poi,bonus,exercised_stock_options,salary,total_stock_value
0,0.0,4175000.0,1729541.0,201955.0,1729541.0
1,0.0,0.0,257817.0,0.0,257817.0
2,0.0,0.0,4046157.0,477.0,5243487.0
3,0.0,1200000.0,6680544.0,267102.0,10623258.0
4,0.0,400000.0,0.0,239671.0,63014.0
5,0.0,0.0,1599641.0,80818.0,1599641.0
6,0.0,700000.0,0.0,231330.0,126027.0
7,1.0,5249999.0,953136.0,213999.0,1110705.0
8,0.0,0.0,3285.0,0.0,-44093.0
9,0.0,0.0,1624396.0,216582.0,2493616.0
10,0.0,250000.0,0.0,187922.0,659249.0
11,0.0,0.0,2604490.0,0.0,0.0
12,0.0,1000000.0,1465734.0,213625.0,1843816.0
13,0.0,850000.0,765313.0,248546.0,954354.0
14,1.0,1350000.0,0.0,278601.0,252055.0
15,0.0,500000.0,825464.0,248017.0,1014505.0
16,0.0,750000.0,0.0,261516.0,417619.0
17,0.0,900000.0,2542813.0,330546.0,3444470.0
18,1.0,1250000.0,0.0,240189.0,126027.0
19,0.0,300000.0,0.0,261809.0,0.0
20,1.0,1000000.0,0.0,415189.0,2502063.0
21,0.0,0.0,5127155.0,0.0,6077885.0
22,0.0,0.0,0.0,0.0,189518.0
23,1.0,1200000.0,0.0,288542.0,698242.0
24,0.0,0.0,651850.0,0.0,1038185.0
25,0.0,800000.0,117551.0,314288.0,495633.0
26,0.0,325000.0,0.0,184899.0,207940.0
27,0.0,600000.0,17378.0,206121.0,159211.0
28,1.0,3000000.0,2291113.0,365163.0,3614261.0
29,0.0,800000.0,8831913.0,492375.0,8831913.0
30,0.0,425000.0,2027865.0,210500.0,2027865.0
31,0.0,600000.0,1550019.0,250100.0,1865087.0
32,0.0,1000000.0,8191755.0,262788.0,8317782.0
33,0.0,70000.0,0.0,221003.0,0.0
34,0.0,800000.0,765920.0,278601.0,1080988.0
35,0.0,0.0,371750.0,0.0,371750.0
36,0.0,750000.0,1451869.0,210692.0,1640910.0
37,0.0,200000.0,601438.0,182245.0,1008941.0
38,0.0,350000.0,4890344.0,170941.0,6678735.0
39,0.0,2500000.0,940257.0,304588.0,2332399.0
40,1.0,1300000.0,0.0,440698.0,1794412.0
41,0.0,350000.0,664461.0,199157.0,1621236.0
42,0.0,0.0,1324578.0,0.0,1884748.0
43,0.0,0.0,343434.0,0.0,343434.0
44,0.0,2000000.0,10433518.0,1060932.0,14622185.0
45,0.0,0.0,176378.0,0.0,176378.0
46,0.0,509870.0,83237.0,192008.0,318607.0
47,0.0,850000.0,636246.0,231946.0,896153.0
48,0.0,0.0,1753766.0,0.0,1945360.0
49,0.0,0.0,2218275.0,0.0,2218275.0
50,0.0,0.0,9803.0,0.0,85641.0
51,1.0,600000.0,384728.0,274975.0,778546.0
52,0.0,750000.0,436515.0,272880.0,877611.0
53,0.0,0.0,0.0,6615.0,0.0
54,0.0,1150000.0,608750.0,374125.0,803094.0
55,1.0,1500000.0,5538001.0,243293.0,6391065.0
56,0.0,0.0,0.0,0.0,2217299.0
57,0.0,0.0,0.0,0.0,151418.0
58,0.0,0.0,0.0,0.0,346663.0
59,0.0,700000.0,187500.0,262663.0,668132.0
60,0.0,1700000.0,0.0,211788.0,441096.0
61,1.0,0.0,30766064.0,0.0,30766064.0
62,0.0,0.0,5210569.0,0.0,7256648.0
63,0.0,0.0,754966.0,0.0,1118394.0
64,0.0,0.0,2282768.0,130724.0,2282768.0
65,0.0,0.0,2165172.0,85274.0,5819980.0
66,0.0,250000.0,185063.0,288558.0,725735.0
67,0.0,0.0,431750.0,0.0,431750.0
68,0.0,400000.0,850010.0,275101.0,976037.0
69,0.0,1000000.0,2022048.0,404338.0,6153642.0
70,0.0,0.0,0.0,174246.0,1034346.0
71,0.0,3100000.0,81042.0,271442.0,547143.0
72,1.0,700000.0,671737.0,309946.0,1920055.0
73,1.0,800000.0,0.0,224305.0,985032.0
74,0.0,8000000.0,4158995.0,339288.0,5167144.0
75,1.0,7000000.0,34348384.0,1072321.0,49110078.0
76,0.0,1000000.0,0.0,273746.0,360528.0
77,0.0,0.0,412878.0,0.0,412878.0
78,0.0,0.0,850477.0,0.0,850477.0
79,0.0,200000.0,2549361.0,236457.0,3064208.0
80,0.0,0.0,372205.0,0.0,372205.0
81,0.0,0.0,2070306.0,349487.0,2070306.0
82,0.0,0.0,664375.0,0.0,758931.0
83,0.0,900000.0,506765.0,263413.0,947861.0
84,0.0,1100000.0,1623010.0,365038.0,3101279.0
85,0.0,0.0,757301.0,0.0,1691366.0
86,0.0,2600000.0,1104054.0,370448.0,1662855.0
87,0.0,600000.0,0.0,365788.0,585062.0
88,0.0,0.0,493489.0,0.0,955873.0
89,0.0,0.0,59539.0,0.0,221141.0
90,0.0,325000.0,0.0,267093.0,208510.0
91,0.0,1100000.0,1056320.0,251654.0,1416848.0
92,0.0,400000.0,400478.0,229284.0,597461.0
93,0.0,0.0,0.0,0.0,368705.0
94,0.0,750000.0,1637034.0,329078.0,2606763.0
95,0.0,0.0,5266578.0,94941.0,7307594.0
96,0.0,1000000.0,15364167.0,261879.0,23817930.0
97,0.0,300000.0,28798.0,655037.0,28798.0
98,0.0,400000.0,880290.0,197091.0,880290.0
99,0.0,0.0,0.0,0.0,47304.0
100,0.0,0.0,886231.0,0.0,1095040.0
101,0.0,0.0,7509039.0,96840.0,7890324.0
102,0.0,100000.0,4160672.0,76399.0,4221891.0
103,1.0,1750000.0,19794175.0,420636.0,22542539.0
104,1.0,700000.0,1635238.0,249201.0,1918887.0
105,0.0,0.0,759557.0,0.0,759557.0
106,0.0,2000000.0,1441898.0,304110.0,2072035.0
107,0.0,650000.0,607837.0,269076.0,987001.0
108,0.0,600000.0,281073.0,248146.0,494136.0
109,1.0,200000.0,1624396.0,211844.0,2493616.0
110,0.0,0.0,1426469.0,0.0,1832468.0
111,0.0,1500000.0,1835558.0,428780.0,3128982.0
112,1.0,5600000.0,19250000.0,1111258.0,26093672.0
113,0.0,500000.0,0.0,239502.0,511734.0
114,0.0,100000.0,1362375.0,162779.0,1362375.0
115,0.0,700000.0,0.0,257486.0,698920.0
116,0.0,600000.0,3181250.0,265214.0,3745048.0
117,0.0,0.0,4452476.0,222093.0,4817796.0
118,0.0,300000.0,591250.0,247338.0,1168042.0
119,0.0,788750.0,0.0,288589.0,0.0
120,0.0,850000.0,4346544.0,357091.0,5898997.0
121,0.0,0.0,1030329.0,0.0,1030329.0
122,0.0,325000.0,1668260.0,259996.0,2056427.0
123,0.0,0.0,0.0,63744.0,384930.0
124,0.0,0.0,98718.0,0.0,98718.0
125,0.0,3000000.0,3282960.0,510364.0,6079137.0
126,0.0,450000.0,1297049.0,317543.0,15144123.0
