Index,rowcount,survived,Class
1,1,1,1st and 2nd
2,1,0,1st and 2nd
3,1,0,1st and 2nd
4,1,1,1st and 2nd
5,1,1,1st and 2nd
6,1,1,1st and 2nd
7,1,1,1st and 2nd
8,1,1,1st and 2nd
9,1,1,1st and 2nd
10,1,1,1st and 2nd
11,1,1,1st and 2nd
12,1,1,1st and 2nd
13,1,1,1st and 2nd
14,1,1,1st and 2nd
15,1,1,1st and 2nd
16,1,1,1st and 2nd
17,1,1,1st and 2nd
18,1,1,1st and 2nd
19,1,1,1st and 2nd
20,1,1,1st and 2nd
21,1,1,1st and 2nd
22,1,1,1st and 2nd
23,1,1,1st and 2nd
24,1,1,1st and 2nd
25,1,1,1st and 2nd
26,1,1,1st and 2nd
27,1,1,1st and 2nd
28,1,1,1st and 2nd
29,1,1,1st and 2nd
30,1,1,1st and 2nd
31,1,1,1st and 2nd
32,1,1,1st and 2nd
33,1,1,1st and 2nd
34,1,1,1st and 2nd
35,1,1,1st and 2nd
36,1,1,1st and 2nd
37,1,1,1st and 2nd
38,1,1,1st and 2nd
39,1,1,1st and 2nd
40,1,1,1st and 2nd
41,1,1,1st and 2nd
42,1,1,1st and 2nd
43,1,1,1st and 2nd
44,1,1,1st and 2nd
45,1,1,1st and 2nd
46,1,1,1st and 2nd
47,1,1,1st and 2nd
48,1,1,1st and 2nd
49,1,1,1st and 2nd
50,1,1,1st and 2nd
51,1,1,1st and 2nd
52,1,1,1st and 2nd
53,1,0,1st and 2nd
54,1,1,1st and 2nd
55,1,1,1st and 2nd
56,1,1,1st and 2nd
57,1,1,1st and 2nd
58,1,1,1st and 2nd
59,1,1,1st and 2nd
60,1,1,1st and 2nd
61,1,1,1st and 2nd
62,1,1,1st and 2nd
63,1,1,1st and 2nd
64,1,1,1st and 2nd
65,1,1,1st and 2nd
66,1,1,1st and 2nd
67,1,1,1st and 2nd
68,1,1,1st and 2nd
69,1,1,1st and 2nd
70,1,1,1st and 2nd
71,1,1,1st and 2nd
72,1,1,1st and 2nd
73,1,1,1st and 2nd
74,1,1,1st and 2nd
75,1,1,1st and 2nd
76,1,1,1st and 2nd
77,1,1,1st and 2nd
78,1,1,1st and 2nd
79,1,1,1st and 2nd
80,1,1,1st and 2nd
81,1,1,1st and 2nd
82,1,1,1st and 2nd
83,1,0,1st and 2nd
84,1,1,1st and 2nd
85,1,1,1st and 2nd
86,1,1,1st and 2nd
87,1,1,1st and 2nd
88,1,1,1st and 2nd
89,1,1,1st and 2nd
90,1,1,1st and 2nd
91,1,1,1st and 2nd
92,1,1,1st and 2nd
93,1,1,1st and 2nd
94,1,1,1st and 2nd
95,1,1,1st and 2nd
96,1,1,1st and 2nd
97,1,1,1st and 2nd
98,1,1,1st and 2nd
99,1,1,1st and 2nd
100,1,1,1st and 2nd
101,1,1,1st and 2nd
102,1,1,1st and 2nd
103,1,1,1st and 2nd
104,1,1,1st and 2nd
105,1,1,1st and 2nd
106,1,1,1st and 2nd
107,1,1,1st and 2nd
108,1,1,1st and 2nd
109,1,1,1st and 2nd
110,1,1,1st and 2nd
111,1,1,1st and 2nd
112,1,1,1st and 2nd
113,1,1,1st and 2nd
114,1,1,1st and 2nd
115,1,1,1st and 2nd
116,1,1,1st and 2nd
117,1,1,1st and 2nd
118,1,1,1st and 2nd
119,1,1,1st and 2nd
120,1,1,1st and 2nd
121,1,1,1st and 2nd
