Index,rowcount,survived,Class,Location
1,1,1,1st and 2nd,Port
2,1,0,1st and 2nd,
3,1,0,1st and 2nd,
4,1,1,1st and 2nd,Port
5,1,1,1st and 2nd,#VALUE!
6,1,1,1st and 2nd,Port
7,1,1,1st and 2nd,StarBoard
8,1,1,1st and 2nd,Port
9,1,1,1st and 2nd,Port
10,1,1,1st and 2nd,Port
11,1,1,1st and 2nd,StarBoard
12,1,1,1st and 2nd,Port
13,1,1,1st and 2nd,Port
14,1,1,1st and 2nd,StarBoard
15,1,1,1st and 2nd,Port
16,1,1,1st and 2nd,Port
17,1,1,1st and 2nd,Port
18,1,1,1st and 2nd,Port
19,1,1,1st and 2nd,Port
20,1,1,1st and 2nd,Port
21,1,1,1st and 2nd,#VALUE!
22,1,1,1st and 2nd,Port
23,1,1,1st and 2nd,StarBoard
24,1,1,1st and 2nd,Port
25,1,1,1st and 2nd,StarBoard
26,1,1,1st and 2nd,Port
27,1,1,1st and 2nd,Port
28,1,1,1st and 2nd,StarBoard
29,1,1,1st and 2nd,Port
30,1,1,1st and 2nd,Port
31,1,1,1st and 2nd,StarBoard
32,1,1,1st and 2nd,Port
33,1,1,1st and 2nd,Port
34,1,1,1st and 2nd,Port
35,1,1,1st and 2nd,Port
36,1,1,1st and 2nd,StarBoard
37,1,1,1st and 2nd,Port
38,1,1,1st and 2nd,Port
39,1,1,1st and 2nd,Port
40,1,1,1st and 2nd,StarBoard
41,1,1,1st and 2nd,StarBoard
42,1,1,1st and 2nd,Port
43,1,1,1st and 2nd,Port
44,1,1,1st and 2nd,StarBoard
45,1,1,1st and 2nd,StarBoard
46,1,1,1st and 2nd,StarBoard
47,1,1,1st and 2nd,Port
48,1,1,1st and 2nd,Port
49,1,1,1st and 2nd,StarBoard
50,1,1,1st and 2nd,StarBoard
51,1,1,1st and 2nd,Port
52,1,1,1st and 2nd,Port
53,1,0,1st and 2nd,
54,1,1,1st and 2nd,StarBoard
55,1,1,1st and 2nd,Port
56,1,1,1st and 2nd,Port
57,1,1,1st and 2nd,Port
58,1,1,1st and 2nd,Port
59,1,1,1st and 2nd,Port
60,1,1,1st and 2nd,StarBoard
61,1,1,1st and 2nd,StarBoard
62,1,1,1st and 2nd,StarBoard
63,1,1,1st and 2nd,StarBoard
64,1,1,1st and 2nd,#VALUE!
65,1,1,1st and 2nd,Port
66,1,1,1st and 2nd,StarBoard
67,1,1,1st and 2nd,StarBoard
68,1,1,1st and 2nd,StarBoard
69,1,1,1st and 2nd,StarBoard
70,1,1,1st and 2nd,StarBoard
71,1,1,1st and 2nd,StarBoard
72,1,1,1st and 2nd,StarBoard
73,1,1,1st and 2nd,StarBoard
74,1,1,1st and 2nd,#VALUE!
75,1,1,1st and 2nd,StarBoard
76,1,1,1st and 2nd,StarBoard
77,1,1,1st and 2nd,Port
78,1,1,1st and 2nd,Port
79,1,1,1st and 2nd,Port
80,1,1,1st and 2nd,Port
81,1,1,1st and 2nd,#VALUE!
82,1,1,1st and 2nd,Port
83,1,0,1st and 2nd,
84,1,1,1st and 2nd,Port
85,1,1,1st and 2nd,StarBoard
86,1,1,1st and 2nd,Port
87,1,1,1st and 2nd,Port
88,1,1,1st and 2nd,Port
89,1,1,1st and 2nd,Port
90,1,1,1st and 2nd,StarBoard
91,1,1,1st and 2nd,StarBoard
92,1,1,1st and 2nd,Port
93,1,1,1st and 2nd,
94,1,1,1st and 2nd,Port
95,1,1,1st and 2nd,Port
96,1,1,1st and 2nd,Port
97,1,1,1st and 2nd,Port
